artist,career_span_years,avg_chart_rank,total_weeks_on_chart,grammy_wins,grammy_nominations,avg_danceability,avg_energy
Tank,17,73.67,614,0,2,,
E.U.,0,54.58,77,0,1,,
The Replacements,0,70.1,54,0,1,,
The Commitments,0,78.0,9,0,1,,
Celine Dion And Clive Griffin,0,49.5,209,0,1,,
George Burns,0,69.3,54,1,3,,
Ella Fitzgerald,3,61.55,123,13,21,,
Arlo Guthrie,3,44.28,137,0,2,,
Joni Mitchell,16,55.5,649,5,11,0.893,0.549
Jamie Foxx Featuring Ludacris,1,32.32,252,0,1,,
Mahalia Jackson,0,99.0,1,3,6,,
will.i.am,2,61.09,44,0,1,,
Beck,11,66.4,632,6,20,,
The Charlie Daniels Band,7,48.04,568,1,3,,
Don Williams,1,50.4,209,0,1,,
Carly Simon,18,48.03,1858,1,12,,
Jimmy Cliff,25,42.92,394,2,7,,
Bette Midler,20,50.26,1890,3,13,,
Jay Z Featuring Justin Timberlake,1,13.26,377,1,1,,
Avril Lavigne,16,35.99,2909,0,6,,
The Choir,0,74.67,20,0,1,,
Horst Jankowski,0,39.21,90,0,2,,
Justin Timberlake Featuring T.I.,1,17.48,434,1,1,,
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,21.92,1327,0,2,,
Big Sean Featuring Nipsey Hussle,0,82.0,1,0,1,,
RAYE,0,79.67,5,0,1,,
Sir Mix-A-Lot,8,37.68,454,1,2,,
Tyla,2,35.61,446,1,1,0.55,0.338
Ruth Brown,4,74.48,113,1,5,,
Sum 41,0,84.33,66,0,1,,
Oliver,1,33.38,241,0,2,,
Doja Cat Featuring SZA,1,14.51,908,1,2,,
Zach Bryan,3,49.66,3064,0,2,0.874,0.638
Sheryl Crow & Sting,0,68.25,35,0,1,,
Extreme,2,35.86,518,0,1,,
Brothers Osborne,2,78.5,339,1,13,,
Amy Winehouse,1,62.06,260,5,6,,
Dean Martin,67,46.3,1487,0,1,0.442,0.6215
Roddy Ricch,2,27.75,951,0,1,0.763,0.844
Shirley Bassey,8,57.67,243,0,1,,
Devo,3,51.19,421,0,1,,
David Foster,3,52.2,257,3,6,,
Floyd Cramer,3,44.27,521,0,6,,
Bastille,1,35.07,1430,0,1,,
Belly,0,97.25,9,0,2,,
Cam,1,59.6,324,0,1,,
Kenny Lattimore,1,63.54,218,0,1,,
Britney Spears,16,39.6,4059,1,8,0.5557,0.62
Metallica,33,65.42,1666,8,21,,
Taylor Swift Featuring Kendrick Lamar,1,21.48,319,1,2,,
Mystikal,2,47.68,418,0,3,,
Johnny Lee,1,45.93,274,0,1,,
Richard Marx,10,36.21,3122,0,2,,
Bryan Adams,15,34.87,3529,0,9,0.8,0.898
Jimmy Reed,5,76.54,219,0,1,,
Angie Stone,3,78.36,550,0,1,,
Jon Bon Jovi,1,32.59,365,0,1,,
Ariana Grande & Social House,0,35.25,77,0,1,,
Bernadette Peters,1,62.14,125,0,3,,
Jadakiss Featuring Anthony Hamilton,0,35.3,209,0,1,,
Remy Shand,0,90.83,20,0,3,,
Soul Asylum,3,37.62,468,0,2,,
Loleatta Holloway,2,83.47,64,0,1,,
Camila Cabello Featuring Ed Sheeran,0,38.25,209,0,1,,
Depeche Mode,20,61.69,1546,0,5,,
Jim Reeves,8,62.58,589,0,10,0.798,0.453
Marc Anthony,14,45.5,1668,3,10,,
Mick Jagger,8,59.96,306,0,1,,
Sisqo,0,21.65,755,0,1,,
Future,12,63.19,1897,0,1,0.7097,0.7727
Craig Mack,1,41.29,533,0,1,,
Foo Fighters,12,66.23,1475,12,27,,
Frank Ocean,8,63.2,414,1,4,,
Bonnie Raitt,18,55.22,1104,8,24,,
The Rolling Stones,39,37.59,3741,4,13,0.6485,0.4495
112,6,39.26,1466,0,1,,
Art Garfunkel,6,55.39,314,0,1,,
Monica,15,35.7,3384,0,2,,
Faron Young,14,60.57,148,0,1,,
Katrina And The Waves,4,52.19,416,0,1,,
A Taste Of Honey,4,38.33,637,1,2,,
Omarion,2,47.1,455,0,1,,
Ann-Margret,1,63.45,94,0,1,,
Macklemore & Ryan Lewis Featuring Wanz,1,22.98,1222,1,1,,
Tracy Chapman,36,38.2,1104,3,10,,
Lewis Capaldi,4,33.13,2895,0,1,,
MFSB,0,74.69,47,1,1,,
Thomas Dolby,1,47.44,293,0,1,,
Elvin Bishop,2,52.75,192,0,1,,
Natalie Imbruglia,4,70.4,37,0,3,,
Kansas,11,51.75,1092,0,1,,
Sia,11,38.81,1957,0,4,,
Michael Jackson & Janet Jackson,0,37.88,152,1,1,,
Kanye West Featuring T-Pain,1,15.67,230,0,1,,
Boyz II Men,10,29.52,3923,4,13,0.4,0.591
Baha Men,0,62.5,209,1,1,,
Disturbed,14,73.9,528,0,3,,
The Corrs,6,62.19,274,0,2,,
Fleetwood Mac,50,42.94,2940,1,5,,
Childish Gambino,11,55.8,1347,4,10,,
Dr. Dre,2,31.34,965,2,5,,
Johnnie Taylor,14,46.59,948,0,3,,
Jimmy Smith,6,79.04,140,0,1,0.854,0.538
Rihanna Featuring Mikky Ekko,0,19.16,527,0,1,,
Goo Goo Dolls,13,40.35,3059,0,2,,
The Gap Band,2,62.06,291,0,1,,
M.C. Hammer,4,45.82,1491,2,7,0.82,0.624
Bo Diddley,8,67.58,187,0,2,,
James Ingram,7,48.75,404,1,6,,
Stone Sour,5,67.04,559,0,3,,
Lil Wayne,23,48.67,1258,2,4,0.355,0.871
Ice Spice,1,71.11,232,0,1,,
Peter Cetera,7,50.94,754,0,1,,
Rihanna Featuring Jay-Z,16,37.06,766,1,3,,
Future Featuring Drake,7,35.74,1248,0,1,,
Steve Lacy,1,33.57,665,1,4,,
Hank Ballard,0,89.25,6,0,1,,
Kelly Clarkson,23,34.18,7786,3,14,,
Chris Brown Featuring Usher & Rick Ross,0,43.82,250,0,1,,
King Crimson,0,85.67,5,0,2,,
Lloyd Banks,0,30.2,209,0,1,,
Eric Clapton,27,39.17,2671,10,20,,
Ketty Lester,0,42.04,131,0,1,,
Linkin Park,23,51.81,3959,1,5,,
Usher Featuring Lil Jon & Ludacris,20,16.91,1081,1,2,,
Paul Shaffer,0,88.13,35,0,1,,
Minnie Riperton,0,36.32,179,0,2,,
The Wallflowers,0,81.0,20,1,3,,
Larry Carlton,0,85.75,35,1,8,,
Adam Sandler,1,89.0,2,0,3,,
Alicia Bridges,1,38.39,497,0,1,,
Chris Young,15,68.44,2346,0,1,,
Freddie Hart,0,37.06,152,0,1,,
Flo Rida Featuring T-Pain,1,16.25,819,0,1,,
Gotye,0,96.0,1,1,1,,
Rickie Lee Jones,5,51.03,199,1,6,,
Faith No More,3,52.75,270,0,3,,
The Delfonics,5,56.62,583,1,1,,
Ferlin Husky,2,38.15,170,0,1,,
Rihanna Featuring Drake,6,16.31,917,0,2,,
Harry Chapin,9,52.26,587,0,2,,
Galantis,0,94.0,12,0,1,,
Justin Timberlake Featuring Chris Stapleton,0,43.13,135,0,1,,
The Robert Cray Band,1,66.69,144,3,9,,
De La Soul,4,66.41,166,0,2,,
Billie Jo Spears,6,84.33,23,0,1,,
Lefty Frizzell,0,88.2,11,0,1,,
Janet Jackson,22,29.33,4358,3,16,,
Pia Zadora,1,63.08,163,0,1,,
Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,0,63.82,54,1,1,,
Ike & Tina Turner,15,60.64,678,1,3,,
Busta Rhymes Featuring P. Diddy & Pharrell,0,33.55,209,0,1,,
Aretha Franklin & George Michael,0,27.29,152,1,1,,
U2,31,51.03,3170,18,32,0.583,0.771
The Grateful Dead,5,82.58,41,0,1,,
Gwen McCrae,0,36.57,104,0,1,,
Los Lobos,2,44.05,348,4,11,,
Manu Dibango,0,51.56,44,0,1,,
Oleta Adams,1,47.35,275,0,4,,
Fatboy Slim,2,74.11,561,0,4,,
Alessia Cara,3,46.75,1970,1,1,,
Maroon 5 Featuring Cardi B,1,11.71,1377,0,1,,
Journey,19,44.55,2894,0,1,,
"Bobby ""Blue"" Bland",1,64.0,110,0,1,,
The Jeff Healey Band,4,45.68,257,0,2,,
Drake Featuring The Throne,0,47.95,209,0,1,,
The Sandpipers,4,50.31,301,0,2,,
Skillet,0,100.0,1,0,2,,
Loreena McKennitt,0,49.25,209,0,2,,
Linda Ronstadt,13,44.13,2155,7,18,0.675,0.492
Billy Currington,14,67.18,2803,0,1,,
Wyclef Jean Featuring Mary J. Blige,1,60.0,189,0,1,,
The Smashing Pumpkins,12,50.57,1110,2,11,0.774,0.525
Creed,11,37.36,3995,0,2,,
Snoop Doggy Dogg,0,28.3,209,0,1,,
The Beach Boys,63,43.36,3569,0,5,0.305,0.451
Young Jeezy Featuring Kanye West,0,32.35,209,0,1,,
Ozzy Osbourne,39,68.59,288,2,4,,
Ghost,0,91.0,1,1,4,,
Sam Hunt,11,49.14,3171,0,3,0.453,0.393
Sting,11,46.87,1723,8,22,,
Incubus,6,56.01,1246,0,1,,
Victor Lundberg,0,33.67,20,0,1,,
Fantasia,6,58.42,901,1,10,,
Silversun Pickups,0,92.0,1,0,1,,
Bob James,0,91.5,2,0,2,,
Hunter Hayes,3,54.52,1646,0,5,,
J.J. Fad,1,68.44,310,0,1,,
Hootie & The Blowfish,2,32.88,2913,2,2,,
Natasha Bedingfield,5,39.1,1797,0,1,,
Jan Hammer,1,35.77,252,1,1,,
Sandy Stewart,1,41.2,54,0,1,,
Billy Ocean,13,38.1,2179,1,2,,
Charles Brown,1,79.0,4,0,3,,
Petula Clark,18,42.5,1010,2,9,,
Post Malone Featuring Morgan Wallen,1,11.4,2277,0,1,,
The Black Keys,4,85.03,227,3,12,,
Sawyer Brown,0,63.14,104,0,1,,
Cal Tjader,0,93.4,14,1,3,,
Vaughan Brothers,0,78.44,44,2,2,,
Tim Curry,0,93.67,5,0,1,,
Trisha Yearwood,12,72.43,548,1,18,,
Terri Gibbs,0,52.41,266,0,2,,
Herbie Mann,13,61.43,342,0,1,,
Alison Krauss + Union Station,0,73.06,170,0,1,,
Allan Sherman,2,44.2,109,1,5,,
Freda Payne,2,41.08,448,0,1,,
David Nail,7,65.48,379,0,1,,
Maureen McGovern,6,57.23,348,0,2,,
Teri DeSario,0,66.75,77,0,1,,
Petey Pablo,6,44.78,1024,0,1,,
Jimmie Rodgers,9,56.83,853,0,2,,
Yeah Yeah Yeahs,2,94.63,93,0,4,,
Marty Robbins,12,53.89,1091,1,2,,
Vanessa Carlton,2,37.28,1050,0,1,,
Nina Simone,11,67.29,173,0,3,,
Feist,1,64.2,107,0,4,0.82,0.852
Poco,20,63.0,728,0,1,,
Lukas Graham,3,40.09,784,0,2,0.449,0.697
Neal Hefti,0,48.0,35,0,3,,
Barry McGuire,1,43.64,101,0,1,,
Matchbox Twenty,12,34.12,4215,0,3,,
Big & Rich,10,75.0,498,0,3,0.498,0.653
Melissa Etheridge,10,43.86,2494,2,11,,
Lionel Richie,24,42.11,3294,2,8,,
Aloe Blacc,1,22.6,207,0,1,,
Ace Cannon,3,56.47,193,0,1,,
Solange,0,86.5,2,1,1,,
Otis Clay,0,98.33,5,0,1,,
Miriam Makeba,1,46.43,70,0,8,,
Liz Phair,10,65.09,300,0,2,,
Fetty Wap,10,41.99,1973,0,1,,
Bill Withers,7,48.08,735,0,3,,
Tom Jones,12,41.93,1573,1,3,,
Maluma,2,67.52,209,0,3,,
Monie Love,1,94.43,20,0,2,,
Hole,5,79.79,126,0,3,,
Joan Baez,12,55.05,304,0,8,,
Eddie Kendricks,5,53.89,949,0,2,,
The New Christy Minstrels,3,49.18,210,1,7,,
Bobby Vinton,18,40.98,2079,0,1,,
Rodney Crowell,0,60.45,65,0,5,,
Dwele,0,97.08,77,0,1,,
Gorillaz,5,39.77,1099,0,6,,
Bobby Bare,12,48.83,308,1,4,0.47,0.803
Motley Crue,8,54.62,1116,0,2,,
Herman's Hermits,4,29.56,1047,0,3,,
Band Aid,1,43.22,44,0,1,,
Juanes,3,90.07,189,3,8,,
Jay-Z & T.I. Featuring Kanye West & Lil Wayne,1,41.35,209,1,1,,
Aimee Mann,0,95.0,20,1,3,,
Loretta Lynn,5,84.15,38,1,7,,
Eli Young Band,10,67.12,1332,0,1,,
Calvin Harris,4,29.71,754,0,2,,
Nancy Sinatra,4,50.34,435,0,2,0.585,0.733
Case,2,38.52,461,0,1,,
Daughtry,8,46.53,2773,0,3,,
Tim McGraw With Faith Hill,10,42.08,344,0,1,,
Ray Price,15,61.99,513,1,5,,
Charlie Daniels,0,29.67,77,0,3,,
The Champs,4,63.71,182,1,1,,
Foxy Brown,0,94.67,20,0,1,,
Scott McKenzie,0,30.74,104,0,1,,
Foreigner,18,39.99,3002,0,3,,
Jerry Reed,12,58.32,530,1,5,,
Jimmie Allen,5,69.0,298,0,1,,
The Ames Brothers,2,53.98,316,0,1,,
Dorothy Moore,1,45.85,436,0,2,,
Forrest Frank,0,68.45,252,0,1,,
Eminem,25,40.16,3137,11,26,0.615,0.608
Smash Mouth,2,32.76,1023,0,1,,
The Brecker Brothers,0,79.67,44,0,2,,
Zach Bryan Featuring Kacey Musgraves,1,13.87,1377,1,1,,
Billie Eilish,7,41.55,9404,5,22,0.351,0.609
Nirvana,31,49.82,632,1,5,,
Rodney Dangerfield,1,88.38,35,1,3,,
David Ball,8,67.25,286,0,1,,
Macklemore & Ryan Lewis Featuring Ray Dalton,0,24.0,776,0,1,,
Loudon Wainwright III,0,37.15,90,1,3,,
Kacey Musgraves,12,73.17,119,4,9,,
Kylie Minogue,16,52.18,955,2,6,,
King Curtis,4,71.53,152,1,3,,
Valerie Simpson,1,80.11,44,0,1,,
Ja Rule,4,60.03,263,0,1,,
Floyd Robinson,0,39.17,170,0,1,,
H.E.R.,3,61.14,207,2,9,,
Johnny Otis,0,93.25,5,0,1,,
OutKast Featuring Killer Mike,1,32.0,209,1,1,,
Jason Mraz,15,36.88,4325,1,2,,
Francesca Battistelli,0,95.0,1,1,3,,
Todd Rundgren,11,52.73,508,0,1,,
Rubber Rodeo,0,87.6,14,0,1,,
Midnight Oil,2,58.38,360,0,2,,
Green Day,8,39.91,2129,4,18,0.526,0.713
Coko,0,79.83,77,0,1,,
Jack Jones,6,63.92,649,2,5,,
Post Malone Featuring 21 Savage,1,10.83,845,0,2,,
UGK Featuring OutKast,0,78.22,44,0,1,,
The Drifters,9,46.08,1676,0,1,0.373,0.759
Lucy Pearl,0,60.11,189,0,1,,
TLC,11,29.39,4158,4,12,,
Lucas,1,51.79,189,0,1,,
Meat Loaf,18,43.81,1168,1,1,,
Carrie Underwood,17,53.76,6721,7,12,,
Maxwell,14,54.34,1177,2,10,,
Deana Carter,2,84.67,120,0,2,,
The Womenfolk,0,88.67,5,0,1,,
Miki Howard,0,91.75,9,0,1,,
Deborah Allen,1,53.05,230,0,1,,
I Prevail,0,90.0,1,0,2,,
DMX,23,70.27,565,0,3,,
Willie Nelson,31,52.79,840,8,35,,
Rob Thomas,5,59.66,1821,0,2,,
The 21st Century,0,100.0,1,0,1,,
The Tractors,0,91.0,1,0,2,,
Kool Moe Dee,1,82.38,79,0,1,,
Julia Michaels,0,25.9,434,0,1,,
Lou Bega,1,23.48,257,0,1,,
James Brown,26,48.58,1910,2,8,,
Brian Wilson,0,50.14,27,1,3,,
Paul Simon,19,45.98,1451,4,13,0.389,0.497
Yoko Ono,0,76.1,54,0,1,,
Melanie Fiona,3,68.86,241,0,2,0.724,0.835
Norah Jones,5,55.73,497,7,11,,
Jackson 5,55,29.87,1566,0,2,,
Karol G,5,62.24,664,1,1,,
Elle King & Miranda Lambert,1,68.4,427,0,1,,
Migos,8,58.14,926,0,1,,
Frankie Valli,13,40.78,1036,0,2,0.812,0.674
The Roots Featuring Erykah Badu,0,58.21,104,1,1,,
B.o.B Featuring Bruno Mars,0,18.18,405,0,1,,
Pete Seeger,0,80.38,35,2,11,,
Megadeth,1,84.27,119,1,13,,
Jill Scott,0,69.38,398,1,11,,
Adele,14,31.95,6222,13,20,,
Trey Songz,12,63.4,2477,0,2,,
The Crusaders,7,70.89,213,0,2,,
Rihanna Featuring Ne-Yo,1,25.04,350,0,1,,
Bobby Darin,15,43.5,2060,2,5,0.417,0.829
Akon,6,39.44,1180,0,1,,
XTC,0,81.0,20,0,1,,
Bruno Mars,8,26.33,6759,6,12,0.394,0.385
After 7,6,53.81,1656,0,1,0.419,0.897
Aerosmith,28,43.42,4076,4,14,,
Genesis,16,43.26,3014,1,5,,
John Mellencamp,23,46.46,2437,0,6,,
Curtis Mayfield,5,54.1,552,0,5,0.51,0.45
The Beatles,59,28.45,3473,9,28,0.52,0.339
Ray Conniff And The Singers,0,39.21,79,0,2,,
Little Johnny Taylor,9,56.6,130,0,1,,
Cream,1,41.91,463,0,1,,
Stray Cats,2,38.29,642,0,1,0.83,0.742
Percy Sledge,8,54.29,462,0,3,,
Lita Ford,4,55.95,379,0,2,,
Yolanda Adams,1,67.75,209,3,9,,
The Byrds,5,51.31,460,0,1,0.401,0.897
Anitta,0,77.5,20,0,2,,
The Wilkinsons,1,65.82,289,0,2,0.565,0.582
Billy Crystal,0,74.42,77,0,2,,
Lee Greenwood,19,70.87,219,1,3,,
Roy Clark,11,67.06,118,1,6,,
Delbert McClinton,1,44.76,209,2,5,,
Traveling Wilburys,1,68.48,148,1,2,,
Portugal. The Man,1,28.64,1006,1,1,,
Corey Hart,6,46.26,1187,0,1,,
Amerie,3,53.19,517,0,2,0.647,0.622
Muse,4,64.44,615,2,5,,
Patti LaBelle,20,67.62,750,1,10,,
Marc Cohn,0,59.94,324,1,2,,
Los Lonely Boys,0,28.7,464,1,5,,
Kathy Troccoli,2,48.27,229,0,3,,
Merle Haggard,4,62.95,109,1,6,,
Miranda Lambert,17,65.27,3067,3,15,,
Glenn Yarbrough,0,49.1,124,0,3,,
Ty Herndon,5,82.68,325,0,1,,
Kendrick Lamar,13,41.89,3953,11,24,,
Chris Rea,11,62.1,209,0,1,,
The Roots,0,62.13,119,0,8,,
The Allman Brothers Band,10,59.17,329,1,8,,
Chuck Mangione,9,49.04,488,1,6,,
Brownstone,3,51.42,721,0,1,0.433,0.393
Nelly,16,36.23,1934,1,7,0.5835,0.7405
John Mayall,0,86.0,5,0,2,,
Alt-J,0,99.0,1,0,1,,
Johnny Cash,13,59.11,899,8,21,,
The Kingston Trio,6,47.68,934,2,8,,
Talking Heads,9,62.53,872,0,2,,
Faith Hill,16,46.13,5841,3,10,,
Fugees,2,58.17,344,2,3,,
J Balvin & Bad Bunny,0,92.08,37,0,1,,
Hoobastank,2,44.49,1138,0,2,,
Craig David,1,36.39,795,0,2,0.728,0.379
Nona Hendryx,4,77.58,49,0,1,,
Audioslave,4,70.67,926,0,3,,
Tennessee Ernie Ford,1,98.5,1,1,7,,
Gloria Taylor,0,61.11,44,0,1,,
21 Savage,7,40.56,941,0,1,0.3675,0.559
Eurythmics,6,48.03,1403,0,1,,
Jamie Foxx,0,96.0,2,0,4,,
Sarah Vaughan,7,60.8,304,1,8,,
Chet Atkins,6,77.42,62,6,21,,
Gale Garnett,1,40.58,196,1,2,,
Peabo Bryson,9,61.44,549,0,4,,
Doug Stone,1,90.56,44,0,1,,
Erykah Badu Featuring Common,1,39.07,377,0,1,,
MGMT,0,95.0,20,0,2,,
Martina McBride,14,66.3,2260,0,12,0.654,0.433
B.T. Express,2,41.97,477,0,1,,
The Kinleys,2,76.19,121,0,1,,
The Manhattan Transfer,10,54.78,528,8,10,,
Johnny Gill,7,52.4,778,0,1,,
Blur,2,76.76,139,0,1,,
Restless Heart,6,45.66,379,0,5,,
Michael W. Smith,7,57.91,545,3,14,,
Charlie Wilson,4,80.94,106,0,5,,
Zedd & Alessia Cara,0,18.97,495,0,1,,
Ray Barretto,0,38.78,44,0,9,,
Artists United Against Apartheid,1,52.31,90,0,2,,
Az Yet Featuring Peter Cetera,0,20.21,594,0,1,,
Pearl Jam,19,62.09,1100,1,13,,
Sammi Smith,1,49.39,162,1,1,,
Thompson Square,4,72.81,728,0,1,,
Lana Cantrell,0,75.6,14,0,1,,
Paul McCartney And Stevie Wonder,0,21.05,189,0,3,,
Mark Ronson Featuring Bruno Mars,2,12.38,1539,2,2,,
Machine Gun Kelly,3,64.2,18,0,1,,
Little Milton,8,70.36,161,0,2,,
Robin Thicke,8,61.95,610,0,1,,
Phoebe Snow,6,56.03,268,0,1,,
Lani Hall,0,91.0,5,1,2,,
Cristian Castro,0,78.0,1,0,1,,
Jonathan Butler,0,48.79,104,0,2,,
Madonna,26,34.06,8338,6,24,,
Kraftwerk,3,62.06,81,1,3,,
The Dillards,0,92.0,2,0,1,,
Robert John,15,48.94,800,0,1,,
Flume Featuring Kai,0,43.31,350,0,1,,
ABBA,8,44.74,2130,0,5,,
Lauren Daigle,1,53.29,947,1,3,,
Run-D.M.C.,7,50.66,531,0,1,,
Cheech & Chong,12,54.78,330,1,1,0.78,0.512
Arrested Development,2,35.51,923,2,5,,
Jack Johnson,11,74.04,618,0,1,,
Luther Vandross,22,60.4,2432,5,21,0.799,0.371
Shanice,8,37.86,920,0,1,,
Brooks & Dunn,16,65.42,2776,2,13,,
Natalie Cole,22,46.39,2272,6,16,,
Toni Childs,0,81.57,27,0,3,,
Quincy Jones,20,58.46,369,8,23,,
Ariana Grande,12,34.32,4840,1,13,0.744,0.59
Jeff Foxworthy,1,92.8,54,0,3,,
The Ting Tings,1,68.7,374,0,1,,
The Jacksons,13,47.49,1161,0,1,,
J. Cole,15,51.93,1844,0,6,0.569,0.729
Engelbert Humperdinck,16,52.28,948,0,1,,
Milli Vanilli,1,34.2,1211,1,1,,
The Wailers,5,62.14,275,0,2,,
The Alan Parsons Project,10,54.53,1486,0,1,0.465,0.646
Britt Nicole,0,88.0,5,0,1,,
Celine Dion And Peabo Bryson,0,34.25,209,0,1,,
Vince Gill,7,74.89,336,11,18,,
Heather Headley,4,80.13,412,1,3,,
Desiigner,0,28.5,1028,0,1,,
3 Doors Down,11,36.55,5278,0,1,,
Henry Mancini,0,44.85,90,8,24,,
Corinne Bailey Rae,1,77.62,191,1,3,,
Timbaland Featuring Nelly Furtado & Justin Timberlake,0,32.88,350,0,1,,
Dorothy Norwood,0,93.25,9,0,7,,
Pleasure P,1,73.13,229,0,2,,
Phoenix,1,90.92,67,1,1,0.838,0.75
Sam Smith,9,36.08,3166,3,5,,
Everlast,1,39.45,560,0,1,,
OK Go,8,66.52,209,1,3,,
Faith Evans,10,50.01,1514,0,5,,
Keith Urban,22,62.24,6532,4,15,0.492,0.72
Keith Urban Featuring Eric Church,0,73.93,104,0,1,,
Mrs. Miller,0,89.83,11,0,1,,
Cardi B,8,39.99,1809,1,6,,
Neil Young,13,52.93,299,0,16,,
Leo Sayer,6,38.21,1154,0,1,,
Migos Featuring Lil Uzi Vert,1,20.53,665,0,1,,
Tom Scott,0,81.33,5,0,3,,
Maria Muldaur,1,39.18,403,0,4,,
Joe South,13,59.9,135,0,1,,
Jesse Belvin,1,53.94,99,0,2,,
Q-Tip,1,58.72,223,0,2,,
Skeeter Davis,4,44.04,385,0,5,0.617,0.734
Dierks Bentley,20,65.81,4261,0,7,0.832,0.356
Jeremih Featuring J. Cole,0,60.15,209,0,1,,
Jesus Jones,1,39.98,533,0,2,,
Vicki Sue Robinson,1,59.02,395,0,1,,
Shaun Cassidy,1,39.05,745,0,1,,
Solomon Burke,14,66.15,753,1,5,,
Big Country,1,49.3,141,0,2,,
Keane,1,77.81,113,0,2,,
Skrillex Featuring Sirah,0,84.92,189,1,1,,
Isaac Hayes,11,48.88,748,1,8,,
Enigma,5,34.26,525,0,2,,
The Brothers Four,5,56.21,322,0,3,,
D.J. Jazzy Jeff & The Fresh Prince,4,49.49,804,2,2,,
Lee Ann Womack,11,59.02,1789,0,11,0.349,0.673
Randy Travis,5,66.6,385,5,12,,
En Vogue,10,37.72,2649,0,6,,
Lorrie Morgan,0,92.0,20,0,1,,
John Lennon,11,31.5,948,0,1,0.376,0.362
Blake Shelton,24,61.1,5067,0,6,,
Duck Sauce,0,89.0,1,0,1,,
Van Halen,34,47.91,2316,1,3,0.463,0.71
Marshmello,3,77.91,52,0,1,,
David Seville And The Chipmunks,3,51.14,297,0,5,,
Lil Baby,8,58.68,3120,0,1,,
John Anderson,0,60.62,90,0,1,,
Ohio Players,6,48.0,1139,0,1,,
Leonard Cohen,0,59.0,1,1,3,,
Dave Loggins,0,44.83,184,0,1,,
David Houston,2,59.38,148,2,4,,
Inner Circle,5,48.59,569,1,2,,
Nelly Featuring Kelly Rowland,1,12.0,434,1,2,,
Terence Trent D'Arby,6,48.0,689,0,1,,
Meryl Streep,0,99.0,1,0,2,,
Lily Allen,2,85.36,167,0,1,,
Selena,1,36.25,209,1,2,,
D.R.A.M. Featuring Lil Yachty,1,22.92,702,0,1,,
Rick Dees,1,82.0,14,0,1,,
Jamie O'Neal,5,66.34,577,0,1,,
The Mars Volta,0,96.0,2,1,1,,
David Crosby,0,95.0,1,0,1,,
Sammy Davis Jr.,7,51.17,496,0,2,,
Pat Green,6,67.32,216,0,1,,
Glass Tiger,2,42.84,659,0,1,,
Kelly Price,3,57.94,453,0,4,,
Betty Wright,7,56.66,268,0,2,,
H.E.R. Featuring Bryson Tiller,0,76.0,1,0,1,,
Four Tops,24,45.38,2045,0,1,0.467,0.756
The Game Featuring 50 Cent,1,26.96,686,0,1,,
Yes,20,51.6,949,1,6,,
Sade,25,56.83,1273,4,9,,
Patrice Rushen,4,58.9,199,0,3,,
Babyface,12,43.9,2363,4,11,,
Estelle Featuring Kanye West,0,40.1,464,1,1,,
Stephen Bishop,8,51.65,840,0,2,,
Jim Croce,4,36.71,971,0,2,,
Zac Brown Band,15,60.52,2959,2,7,,
Wild Cherry,2,51.17,408,0,2,,
Skee-Lo,0,46.37,377,0,2,,
DaBaby,4,50.28,1668,0,2,,
Korn,4,80.79,214,2,8,,
Shirley Caesar,0,95.2,14,9,21,,
Hugh Masekela,2,53.3,161,0,2,,
Etta James,10,61.44,854,3,16,,
The Rembrandts,5,55.09,487,0,1,,
Tyler Childers,0,70.3,54,0,6,,
Garbage,10,65.41,680,0,5,,
Dire Straits,7,41.68,795,2,7,,
Doechii,0,33.32,400,1,3,,
Carla Thomas,8,63.49,497,0,1,,
Justin Bieber Featuring Daniel Caesar & Giveon,0,14.5,464,0,3,,
George Harrison,32,34.57,1107,1,6,,
Ludacris,12,36.88,1313,1,7,,
Daft Punk,4,74.17,344,4,8,,
OneRepublic,16,38.27,5714,0,1,,
Donna Summer,24,43.14,3388,4,16,,
Eve Featuring Gwen Stefani,0,18.18,560,1,1,,
Musical Youth,2,51.56,197,0,1,,
George Benson,9,48.13,1441,8,20,0.62,0.391
Phil Collins,22,43.33,3896,5,14,,
The Police,7,37.83,1501,5,8,,
Bone Thugs-N-Harmony,4,42.14,1135,1,3,0.407,0.58
Raphael Saadiq,0,43.15,209,0,4,,
Dido,3,30.91,1639,0,1,,
Gwen Stefani,12,50.84,1516,0,5,0.894,0.387
Ramsey Lewis Trio,2,41.88,224,1,2,,
The Capitols,0,47.21,133,0,1,,
David Guetta & Bebe Rexha,1,21.92,1175,0,1,,
Belinda Carlisle,5,42.69,1050,0,1,,
The Whispers,20,62.38,779,0,1,,
Swing Out Sister,5,55.19,480,0,2,,
Shawn Mendes & Camila Cabello,5,25.0,911,0,1,,
Sarah McLachlan,13,45.88,2435,3,13,,
Frank Sinatra,22,60.45,1224,8,27,,
The Tubes,9,57.23,351,0,1,,
Blu Cantrell,0,28.74,594,0,2,,
Ronnie Dunn,0,80.77,198,0,1,,
Weezer,24,55.87,1496,1,3,0.508,0.773
Pentatonix,4,52.95,90,0,2,,
Johnny Cash & June Carter,0,52.13,35,1,3,,
Nu Shooz,2,48.85,662,0,1,,
Tavares,10,56.41,1453,0,1,,
Sylvia,1,49.6,209,0,2,,
